run,chi2
869,32.0858
870,23.1773
871,38.604
872,27.4681
873,41.2184
874,27.9162
875,27.8234
876,22.7621
877,44.7625
878,32.9015
879,26.9421
880,23.2333
881,21.9857
882,23.0324
883,26.8247
884,31.5635
885,30.8739
886,39.5554
887,43.3921
888,23.1242
889,37.407
890,22.6266
891,29.1803
892,33.7237
893,22.7905
894,29.5028
895,25.9547
896,26.6278
897,25.7332
898,68.114
899,24.1497
900,17.4599
901,43.4908
902,36.3639
903,42.305
904,37.8804
905,19.1874
906,28.1195
907,40.0011
908,20.0837
909,49.5976
910,26.1399
911,55.0546
912,28.4328
913,25.3043
914,22.2649
915,19.6638
916,20.6401
917,26.9761
918,14.9294
919,28.4401
920,46.8381
921,24.1174
922,44.0047
923,25.7866
924,37.3421
925,24.859
926,39.7221
927,34.1883
928,33.2226
929,20.5762
930,39.0488
931,36.6265
932,23.2644
933,27.5504
934,34.9756
935,24.7976
936,41.3959
937,30.3306
938,28.3795
939,27.0839
940,43.6162
941,26.6724
942,25.9887
943,56.5356
944,31.4586
945,49.9541
946,27.2952
947,30.4539
948,30.0995
949,23.1668
950,28.4399
951,25.3977
952,44.6708
953,37.7924
954,30.3732
955,45.0694
956,30.7852
957,29.9119
958,32.8243
959,77.0967
960,29.6694
961,33.0846
962,37.312
963,27.1138
964,32.3609
965,27.8375
966,35.3463
967,24.9585
968,25.9564
969,24.8653
970,15.7463
971,29.9983
972,27.8798
973,28.2574
974,27.474
975,30.1988
976,33.2714
977,26.1241
978,25.3655
979,29.326
980,25.5926
981,42.0265
982,28.7904
983,27.1644
984,13.4442
985,31.2862
986,35.6651
987,26.3559
988,22.5994
989,41.381
990,33.8005
991,47.8523
992,48.2595
993,27.7157
994,44.1553
995,39.273
996,20.9039
997,35.798
998,18.9919
999,33.1906
