num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
28150,195.912,390.391,-0.000448715,-0.00411215,0.00456087,196
28200,195.915,390.649,-0.00043231,-0.00345141,0.00388372,196
28250,195.914,390.881,-0.000441102,-0.00285768,0.00329878,196
28300,195.92,390.844,-0.000409343,-0.00295296,0.0033623,196
28350,195.916,390.659,-0.0004295,-0.00342729,0.00385679,196
28400,195.924,390.593,-0.000388062,-0.00359551,0.00398357,196
28450,195.921,390.37,-0.000401664,-0.00416726,0.00456893,196
28500,195.925,390.418,-0.000383982,-0.00404474,0.00442872,196
28550,195.918,390.37,-0.000419286,-0.00416692,0.00458621,196
28600,195.917,390.601,-0.000423425,-0.00357624,0.00399967,196
28650,195.931,390.848,-0.000354215,-0.00294185,0.00329607,196
28700,195.94,390.888,-0.000308506,-0.00284193,0.00315044,196
28750,195.944,390.944,-0.000284318,-0.00269758,0.0029819,196
28800,195.951,391.055,-0.000248629,-0.0024147,0.00266333,196
28850,195.954,391.016,-0.000236918,-0.00251279,0.00274971,196
28900,195.955,391.198,-0.000230122,-0.00204743,0.00227755,196
28950,195.962,391.088,-0.000191666,-0.00232889,0.00252056,196
29000,195.967,391.33,-0.000170066,-0.00171071,0.00188077,196
29050,195.97,391.267,-0.000154229,-0.00187292,0.00202715,196
29100,195.962,391.112,-0.000194556,-0.0022686,0.00246316,196
29150,195.967,391.165,-0.000167278,-0.00213315,0.00230043,196
29200,195.963,391.089,-0.000186432,-0.0023259,0.00251233,196
29250,195.956,391.024,-0.000225487,-0.00249336,0.00271885,196
29300,195.953,391.113,-0.000242109,-0.00226437,0.00250648,196
29350,195.945,391.146,-0.000283157,-0.00218216,0.00246532,196
29400,195.939,391.156,-0.000310784,-0.00215512,0.00246591,196
29450,195.943,391.453,-0.000293174,-0.0013976,0.00169077,196
29500,195.932,391.342,-0.00034615,-0.00167975,0.0020259,196
29550,195.93,391.39,-0.000355573,-0.00155803,0.00191361,196
29600,195.932,391.548,-0.000348782,-0.00115354,0.00150233,196
29650,195.937,391.506,-0.000322829,-0.00126166,0.00158448,196
29700,195.943,391.643,-0.000289865,-0.000911552,0.00120142,196
29750,195.951,391.686,-0.000249647,-0.000802572,0.00105222,196
29800,195.95,391.771,-0.000255908,-0.000583405,0.000839313,196
29850,195.955,391.709,-0.000230016,-0.000742816,0.000972832,196
29900,195.952,391.632,-0.000243496,-0.000938073,0.00118157,196
29950,195.96,391.484,-0.000204004,-0.0013183,0.00152231,196
30000,195.954,391.461,-0.000234916,-0.00137695,0.00161186,196
