run,t,x_meas,y_meas
27,2,1.72298,2.12858
27,3,2.39463,3.44802
27,4,4.44128,4.31055
27,5,4.53875,3.80264
27,6,5.78021,5.74948
27,7,7.66134,6.35871
27,8,7.87931,8.18847
27,9,8.94682,9.37934
27,10,10.642,9.99187
27,11,10.3883,10.824
27,12,12.3932,12.6808
27,13,12.503,13.2254
27,14,15.1109,14.4108
27,15,15.477,15.6306
27,16,16.9191,15.9404
27,17,17.2823,16.9916
27,18,18.106,17.4078
27,19,19.1565,18.8337
28,0,0.363799,0.162259
28,1,0.505321,1.00348
28,2,1.87078,1.64413
28,3,1.90258,3.17787
28,4,4.51285,3.63278
28,5,5.73617,5.31314
28,6,6.0892,6.17757
28,7,7.37911,7.10177
28,8,7.31145,7.02379
28,9,8.67321,7.82265
28,10,10.2572,10.8774
28,11,11.632,11.0934
28,12,11.8827,12.7603
28,13,13.2563,13.1877
28,14,14.395,14.0588
28,15,15.528,15.8625
28,16,16.2365,14.9401
28,17,16.7345,17.2361
28,18,18.055,17.4741
28,19,18.413,19.6973
29,0,-0.740414,0.019711
29,1,1.1038,0.836362
29,2,1.29272,2.12324
29,3,3.19895,2.8542
29,4,5.28963,3.83645
29,5,4.32698,5.21029
29,6,6.46674,5.35751
29,7,6.39177,6.62749
29,8,7.71649,6.64201
29,9,7.9629,8.47979
29,10,9.33592,10.5592
29,11,10.6831,11.0855
29,12,11.9688,10.8466
29,13,12.6107,12.7362
29,14,13.6987,13.2892
29,15,15.0349,14.9519
29,16,15.96,14.9973
29,17,16.652,16.59
29,18,18.3109,17.8624
29,19,18.9682,19.4913
30,0,-0.113592,-0.169228
30,1,0.438355,0.97187
30,2,1.34695,2.43517
30,3,3.19473,3.48091
30,4,4.17208,3.10453
30,5,6.18059,3.60319
30,6,6.30019,5.21041
30,7,6.93537,7.33014
30,8,7.49381,8.40393
30,9,8.80758,9.1718
30,10,9.0948,10.2324
30,11,11.5127,10.5337
30,12,12.7565,12.3189
30,13,13.8076,13.292
30,14,13.172,14.7532
30,15,14.8087,14.4929
30,16,16.3492,15.3751
30,17,16.6058,18.3125
30,18,17.3012,17.4483
30,19,18.8609,18.2825
31,0,0.011419,-0.489479
31,1,0.797178,0.57597
31,2,1.67957,2.17936
31,3,2.45508,4.58922
31,4,5.28747,4.10173
31,5,5.52152,5.47425
31,6,5.89146,5.54107
31,7,5.76086,7.72913
31,8,8.79724,7.85137
31,9,9.28316,8.49638
31,10,9.68122,10.6189
31,11,11.4486,11.3097
31,12,12.0715,11.6307
31,13,13.5943,12.6121
31,14,13.7029,14.8829
31,15,15.5512,14.3662
31,16,16.4283,16.8875
31,17,16.7793,15.9337
31,18,17.4266,17.3766
31,19,19.0795,18.7954
32,0,0.798888,0.128846
32,1,1.33586,0.944248
32,2,2.48466,1.57357
32,3,2.85454,3.10097
32,4,4.1735,4.09862
32,5,4.84387,5.12448
32,6,6.16598,6.59378
32,7,6.95258,6.97089
32,8,7.90075,8.60911
32,9,8.12523,8.95321
32,10,10.3086,9.7592
32,11,11.3921,11.6515
32,12,10.4409,11.9214
32,13,13.3727,12.7055
32,14,13.8213,14.4369
32,15,15.6804,14.4343
32,16,16.0994,16.0444
32,17,16.7532,17.4481
32,18,17.4544,18.3261
32,19,19.02,19.3547
33,0,0.223644,0.574968
33,1,1.2966,0.818333
33,2,1.15774,3.70438
33,3,2.53238,4.01742
33,4,2.96715,3.92831
33,5,4.7493,5.33029
33,6,5.70148,5.30632
33,7,6.95556,7.49443
33,8,7.36166,8.42727
33,9,9.39159,9.08493
33,10,9.60183,10.6581
33,11,10.7559,10.4172
33,12,11.8272,11.8118
33,13,13.5225,13.2171
33,14,14.3454,13.7078
33,15,14.6756,14.2464
33,16,15.6351,16.7756
33,17,17.1237,16.9332
33,18,17.6268,17.8319
33,19,19.3432,19.1294
34,0,-0.0343337,0.489185
34,1,1.2453,0.804974
34,2,1.83914,1.62585
34,3,3.40041,2.66455
34,4,4.5858,5.02259
34,5,4.96021,5.12177
34,6,5.60617,6.11859
34,7,7.05341,7.57819
34,8,7.80419,8.08789
34,9,9.67455,8.68255
34,10,10.1724,9.6508
34,11,11.3981,11.1605
34,12,11.1775,11.5315
34,13,13.7429,12.9899
34,14,14.2263,14.3656
34,15,14.7041,15.6328
34,16,15.9163,16.3948
34,17,16.0492,16.3784
34,18,18.013,18.0459
34,19,18.4693,20.1753
35,0,0.467591,0.223915
35,1,1.00707,0.8821
35,2,2.64871,2.65036
35,3,2.6954,3.07333
35,4,4.5424,4.22079
35,5,4.40645,6.91861
35,6,5.57901,5.62423
35,7,6.84997,6.9989
35,8,8.32862,7.77746
35,9,9.09456,9.18404
35,10,9.45653,9.68845
35,11,10.1022,11.0275
35,12,12.5304,12.9262
35,13,13.7535,13.6528
35,14,14.2083,13.1951
35,15,15.1986,14.867
35,16,16.9459,15.6325
35,17,16.917,16.8893
35,18,18.7957,17.5617
35,19,19.504,19.7803
36,0,-0.574581,-0.218845
36,1,1.25712,2.11642
36,2,2.59898,1.71796
36,3,2.40381,4.16848
36,4,3.42588,4.01837
36,5,5.02738,6.06178
36,6,6.16269,6.17336
36,7,6.97256,7.46165
36,8,9.16216,9.00349
36,9,9.4571,8.40936
36,10,9.33333,9.75293
36,11,10.9745,10.7933
36,12,12.6175,11.3687
36,13,12.6866,12.6194
36,14,13.5041,13.4284
36,15,16.1687,15.4399
36,16,16.6324,15.9316
36,17,16.1988,16.338
36,18,18.9563,18.0243
36,19,19.1467,19.8627
37,0,-0.100314,0.897313
37,1,0.892956,0.205964
37,2,1.15488,1.87816
37,3,3.32622,3.08012
37,4,4.29738,4.39292
37,5,4.9672,5.30846
37,6,6.43573,5.20638
37,7,6.98282,6.14796
37,8,7.80594,8.67093
37,9,9.21741,8.34676
37,10,10.097,10.0529
37,11,11.2279,10.5555
37,12,12.2125,12.4238
37,13,12.8761,12.6602
37,14,13.5488,13.8919
37,15,14.556,15.0088
37,16,15.7991,15.5453
37,17,17.6196,17.0974
37,18,18.3574,17.7523
37,19,19.8075,19.0893
38,0,0.199001,0.87059
38,1,1.01933,1.85513
38,2,1.66098,2.06937
38,3,2.92167,3.96769
38,4,4.46071,5.21001
38,5,5.44961,4.78772
38,6,5.16701,6.17732
38,7,7.29713,8.42648
38,8,7.10091,8.19199
38,9,9.03904,8.40982
38,10,9.59256,10.688
38,11,11.2646,10.0944
38,12,11.6871,11.6644
38,13,12.9107,13.3452
38,14,13.4422,13.4807
38,15,14.4597,14.1427
38,16,15.8914,15.396
38,17,17.2118,17.4183
38,18,18.2749,18.249
38,19,18.9712,19.6868
39,0,0.436642,0.170172
39,1,0.931742,1.01111
39,2,1.52273,2.15399
39,3,2.25301,2.80476
39,4,4.53717,3.76469
39,5,5.00061,4.33019
39,6,6.24823,6.14926
39,7,6.93246,6.65043
39,8,7.97839,7.63107
39,9,9.31007,8.96379
39,10,9.9234,9.66439
39,11,10.5256,10.929
39,12,11.1374,11.8347
39,13,12.9571,13.2259
39,14,14.2968,14.0167
39,15,15.1162,15.0165
39,16,16.3283,16.2308
39,17,17.6372,16.2733
39,18,18.7499,17.655
39,19,18.1661,18.2574
40,0,0.296487,0.327353
40,1,1.10076,0.634544
40,2,3.10465,1.49237
40,3,3.46645,3.10891
40,4,3.57715,3.56516
40,5,4.63174,4.7767
40,6,5.39166,4.61985
40,7,7.75933,6.1303
40,8,7.30449,8.35557
40,9,8.67026,9.50857
40,10,9.40425,9.00364
40,11,11.1537,11.8657
40,12,11.2927,12.6754
40,13,12.553,13.0562
40,14,13.8509,13.7824
40,15,15.7549,15.0234
40,16,16.125,15.6835
40,17,16.9311,17.0136
40,18,17.9917,18.0996
40,19,19.5066,18.999
41,0,-0.321827,0.116787
41,1,1.6818,0.69534
41,2,2.03937,1.16136
41,3,3.86186,3.68245
41,4,3.76514,3.84231
41,5,5.5663,4.5102
41,6,5.98398,6.44818
41,7,6.98838,6.6602
41,8,9.17032,8.50038
41,9,8.81098,8.53298
41,10,10.331,9.82547
41,11,11.3849,10.7831
41,12,11.7503,12.0721
41,13,12.4791,12.1502
41,14,14.8769,14.7505
41,15,14.9218,15.4229
41,16,15.9178,15.8149
41,17,16.752,15.7251
41,18,17.8104,18.0212
41,19,18.3446,19.5565
42,0,-0.182948,-0.376175
42,1,1.03221,1.97993
42,2,2.21318,2.01291
42,3,3.62315,4.0093
42,4,2.89598,3.99532
42,5,4.4712,3.95056
42,6,5.72334,6.30466
42,7,7.40396,7.26149
42,8,7.45605,8.25595
42,9,7.79811,8.68966
42,10,9.58618,10.2733
42,11,11.0345,11.4434
42,12,11.9908,11.5715
42,13,12.8016,13.1136
42,14,13.87,14.4101
42,15,15.478,14.9497
42,16,16.5841,15.5819
42,17,17.7266,16.7344
42,18,18.3971,17.8403
42,19,19.229,19.0543
43,0,-0.0162479,0.653318
43,1,0.464494,1.09952
43,2,1.0481,2.22006
43,3,3.16057,3.67254
43,4,4.30961,4.15875
43,5,4.56737,4.62255
43,6,5.89952,5.83774
43,7,6.73147,6.76008
43,8,7.48225,9.02474
43,9,10.1176,8.72068
43,10,9.60801,9.49096
43,11,10.482,11.9846
43,12,11.3912,12.3633
43,13,12.5991,12.2341
43,14,13.5678,14.3078
43,15,14.5734,14.7237
43,16,16.7469,16.7187
43,17,18.0092,17.3778
43,18,18.3973,17.8983
43,19,18.6905,18.5394
44,0,-0.00430155,-1.06943
44,1,1.27732,0.78847
44,2,1.67334,2.38988
44,3,4.09039,2.78048
44,4,4.49343,4.76944
44,5,5.77809,5.10803
44,6,5.70034,5.74119
44,7,7.18034,6.74724
44,8,7.72233,7.90183
44,9,8.46638,9.43826
44,10,9.50514,9.96039
44,11,11.1016,11.0597
44,12,13.4886,12.5874
44,13,12.9795,13.6668
44,14,14.006,12.979
44,15,15.3819,15.622
44,16,15.8702,17.0546
44,17,16.7259,17.4516
44,18,17.6838,17.685
44,19,18.4746,19.5347
45,0,-0.260616,0.291793
45,1,1.3181,1.17394
45,2,2.14759,1.26911
45,3,3.4807,3.32129
45,4,3.97469,3.53677
45,5,5.33983,4.40408
45,6,6.15658,6.1051
45,7,6.47997,6.57967
45,8,8.13491,7.78662
45,9,9.61439,9.00732
45,10,10.3899,9.78657
45,11,11.4946,10.2772
45,12,10.6267,12.2465
45,13,13.0754,13.0217
45,14,14.1965,13.5087
45,15,14.6073,14.7714
45,16,15.4766,16.5785
45,17,17.1145,17.2878
45,18,18.4913,19.1948
45,19,19.5224,19.359
46,0,0.169024,-0.0695736
46,1,1.37099,1.15616
46,2,1.64106,2.19335
46,3,2.43511,3.018
46,4,3.99633,5.05916
46,5,4.98794,4.20354
46,6,6.07692,7.32866
46,7,7.55275,6.72559
46,8,7.53822,7.87905
46,9,8.28529,9.15949
46,10,9.71801,8.60618
46,11,11.1687,10.8536
46,12,11.384,11.8033
46,13,13.2035,13.2698
46,14,14.3532,14.5163
46,15,15.7476,14.2641
46,16,15.7043,15.928
46,17,17.467,16.4949
46,18,18.1341,18.4712
46,19,18.2693,19.4501
47,0,0.706336,0.32114
47,1,1.24351,0.362414
47,2,1.96378,1.31004
47,3,3.2266,3.15543
47,4,3.43516,3.60164
47,5,5.00962,5.08153
47,6,6.10791,6.47158
47,7,6.72648,6.59433
47,8,7.00391,7.49467
47,9,8.77113,9.12421
47,10,10.2057,10.5255
47,11,10.252,10.3834
47,12,11.9009,12.1278
47,13,13.816,12.572
47,14,14.3016,14.1635
47,15,15.47,15.6322
47,16,15.1258,16.2117
47,17,16.7809,17.3258
47,18,17.5071,19.0633
47,19,18.5702,18.7421
48,0,-0.587909,0.154466
48,1,0.800683,0.962854
48,2,2.52519,1.83796
48,3,2.19357,3.33191
48,4,4.11929,4.18977
48,5,4.52101,4.97518
48,6,5.27859,6.21375
48,7,7.13784,7.04886
48,8,7.8307,8.81437
48,9,7.61806,9.32638
48,10,10.133,9.45741
48,11,10.5439,10.9847
48,12,11.2488,12.1101
48,13,12.5459,14.1892
48,14,14.4896,13.5971
48,15,14.0732,15.2158
48,16,16.3053,15.7978
48,17,17.1112,16.8779
48,18,18.0001,17.5527
48,19,17.9292,18.5591
49,0,-0.688003,-0.60503
49,1,0.815418,1.66575
49,2,3.14097,1.55713
49,3,1.96877,3.3323
49,4,3.48417,4.18599
49,5,5.72016,5.96106
49,6,6.26141,6.78999
49,7,7.83656,6.88191
49,8,7.45332,8.41312
49,9,8.80915,9.9112
49,10,9.95148,9.6184
49,11,10.5906,10.7524
49,12,11.6997,12.2689
49,13,12.8846,12.6625
49,14,14.6318,13.1235
49,15,14.8607,14.6993
49,16,16.0428,16.0429
49,17,17.3987,17.6971
49,18,18.2943,17.2523
